numero;nome_urna;estado_uf;partido;federacao;cargo;situacao
50;KEKA BAGNO;DF;PSOL;Federação PSOL REDE;Governador;Deferido
43;LEANDRO GRASS;DF;PV;Federação Brasil da Esperança - FE BRASIL;Governador;Deferido
11144;VALÉRIO BANDA MARANATHA;DF;PP;Nenhuma;Deputado Distrital;Indeferido
28288;PASTORA ANA CLEIA;DF;PRTB;Nenhuma;Deputado Distrital;Indeferido
7040;JUAREZ TAVORA;DF;AVANTE;Nenhuma;Deputado Federal;Indeferido
3617;ELIS BBB;DF;AGIR;Nenhuma;Deputado Federal;Indeferido
456;ALEXANDRE BISPO;DF;PSDB;Federação PSDB Cidadania;Senador;Indeferido
3623;SARGENTO CARVALHO;DF;AGIR;Nenhuma;Deputado Federal;Indeferido
90010;EDMILSON BOA MORTE;DF;PROS;Nenhuma;Deputado Distrital;Indeferido
77444;SILVANA TORRES RODRIGUES;DF;SOLIDARIEDADE;Nenhuma;Deputado Distrital;Indeferido
555;CARLOS RODRIGUES;DF;PSD;Nenhuma;Senador;Deferido
133;ROSILENE CORRÊA;DF;PT;Federação Brasil da Esperança - FE BRASIL;Senador;Deferido
1123;PROFESSORA CELY MUNIZ;DF;PP;Nenhuma;Deputado Federal;Deferido
3033;NANA;DF;NOVO;Nenhuma;Deputado Federal;Deferido
2261;BELLE BORGES;DF;PL;Nenhuma;Deputado Federal;Deferido
2222;BIA KICIS;DF;PL;Nenhuma;Deputado Federal;Deferido
1522;GUARDA JANIO;DF;MDB;Nenhuma;Deputado Federal;Deferido
1501;MARLI DA SAUDE;DF;MDB;Nenhuma;Deputado Federal;Deferido
1500;AMANDA RAMALHO;DF;MDB;Nenhuma;Deputado Federal;Deferido
1800;ROBERTO CABRAL;DF;REDE;Federação PSOL REDE;Deputado Federal;Deferido
7788;LIGIA AMORIM;DF;SOLIDARIEDADE;Nenhuma;Deputado Federal;Deferido
4455;JÚLIA LUCY;DF;UNIÃO;Nenhuma;Deputado Federal;Deferido
1900;CRIS OTAVIANO;DF;PODE;Nenhuma;Deputado Federal;Deferido
1988;REGIS MACHADO (FPC);DF;PODE;Nenhuma;Deputado Federal;Deferido
1999;WAGNER ALVES;DF;PODE;Nenhuma;Deputado Federal;Deferido
1011;POLICIAL SILMARA MIRANDA;DF;REPUBLICANOS;Nenhuma;Deputado Federal;Deferido
2929;RICARDO MACHADO;DF;PCO;Nenhuma;Deputado Federal;Deferido
9033;LUIZÃO;DF;PROS;Nenhuma;Deputado Federal;Deferido
9000;MÁRCIA HOLANDA;DF;PROS;Nenhuma;Deputado Federal;Deferido
5501;CORONEL SHEYLA;DF;PSD;Nenhuma;Deputado Federal;Deferido
5544;IBI BATISTA;DF;PSD;Nenhuma;Deputado Federal;Deferido
2700;PROF. LUCINEIDE;DF;DC;Nenhuma;Deputado Federal;Deferido
2044;DR RAFAEL FREIRE;DF;PSC;Nenhuma;Deputado Federal;Deferido
2000;WANDER MACIEL;DF;PSC;Nenhuma;Deputado Federal;Deferido
1498;JOSE MACIEL;DF;PTB;Nenhuma;Deputado Federal;Deferido
1477;PAULO BOMBEIRO;DF;PTB;Nenhuma;Deputado Federal;Deferido
7007;DR HEMERSON LUZ;DF;AVANTE;Nenhuma;Deputado Federal;Deferido
7070;ELIZEU SOUZA;DF;AVANTE;Nenhuma;Deputado Federal;Deferido
1234;DENISE FRANCO;DF;PDT;Nenhuma;Deputado Federal;Deferido
1223;ROBERTA CAMARGO;DF;PDT;Nenhuma;Deputado Federal;Deferido
3669;PEDRA;DF;AGIR;Nenhuma;Deputado Federal;Deferido
3633;DR DENTE;DF;AGIR;Nenhuma;Deputado Federal;Deferido
33777;GLAUCIO CUNHA;DF;PMN;Nenhuma;Deputado Distrital;Deferido
33300;REGIS LIMA;DF;PMN;Nenhuma;Deputado Distrital;Deferido
33012;BISPO WELDO;DF;PMN;Nenhuma;Deputado Distrital;Deferido
33100;EUDES JUDITH;DF;PMN;Nenhuma;Deputado Distrital;Deferido
33033;ÁKILLA MARINHO;DF;PMN;Nenhuma;Deputado Distrital;Deferido
12344;LÉO RANGEL;DF;PDT;Nenhuma;Deputado Distrital;Deferido
12321;GABY SANTOS;DF;PDT;Nenhuma;Deputado Distrital;Deferido
90123;JACKSON DA EXPANSÃO;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90789;DRA. KAREN RECHMANN;DF;PROS;Nenhuma;Deputado Distrital;Deferido
90888;ANA CRISTINA;DF;PROS;Nenhuma;Deputado Distrital;Deferido
35677;SAMIA WALÊSKA;DF;PMB;Nenhuma;Deputado Distrital;Deferido
